platform,contest_id,contest_title,start_time,year,contest_family
Codeforces,2158,Codeforces Round 1067 (Div. 2),2025-11-29 14:35:00,2025,Div.2
Codeforces,2170,Educational Codeforces Round 185 (Rated for Div. 2),2025-11-28 14:35:00,2025,Educational
Codeforces,2157,Codeforces Round 1066 (Div. 1 + Div. 2),2025-11-23 09:35:00,2025,Div.1+Div.2
Codeforces,2171,Codeforces Round 1065 (Div. 3),2025-11-20 14:35:00,2025,Div.3
Codeforces,2165,Codeforces Round 1064 (Div. 1),2025-11-16 14:35:00,2025,Div.1
Codeforces,2166,Codeforces Round 1064 (Div. 2),2025-11-16 14:35:00,2025,Div.2
Codeforces,2172,"2025 ICPC Asia Taichung Regional Contest (Unrated, Online Mirror, ICPC Rules, Preferably Teams)",2025-11-16 01:50:00,2025,Other
Codeforces,2169,Educational Codeforces Round 184 (Rated for Div. 2),2025-11-14 14:35:00,2025,Educational
Codeforces,2163,Codeforces Round 1063 (Div. 2),2025-11-10 15:05:00,2025,Div.2
Codeforces,2164,Codeforces Global Round 30 (Div. 1 + Div. 2),2025-11-06 14:35:00,2025,Div.1+Div.2
Codeforces,2168,"Testing Round 20 (Unrated, Communication Problems)",2025-11-03 14:35:00,2025,Other
Codeforces,2161,Pinely Round 5 (Div. 1 + Div. 2),2025-10-30 16:35:00,2025,Div.1+Div.2
Codeforces,2167,Codeforces Round 1062 (Div. 4),2025-10-28 14:35:00,2025,Div.4
Codeforces,2156,Codeforces Round 1061 (Div. 2),2025-10-24 14:35:00,2025,Div.2
Codeforces,2154,Codeforces Round 1060 (Div. 2),2025-10-19 14:35:00,2025,Div.2
Codeforces,2162,Codeforces Round 1059 (Div. 3),2025-10-17 14:35:00,2025,Div.3
Codeforces,2159,Codeforces Round 1058 (Div. 1),2025-10-12 14:35:00,2025,Div.1
Codeforces,2160,Codeforces Round 1058 (Div. 2),2025-10-12 14:35:00,2025,Div.2
Codeforces,2153,Codeforces Round 1057 (Div. 2),2025-10-10 14:35:00,2025,Div.2
Codeforces,2145,Educational Codeforces Round 183 (Rated for Div. 2),2025-10-06 14:35:00,2025,Educational
Codeforces,2155,Codeforces Round 1056 (Div. 2),2025-10-05 16:35:00,2025,Div.2
Codeforces,2152,"Squarepoint Challenge (Codeforces Round 1055, Div. 1 + Div. 2)",2025-10-03 14:35:00,2025,Div.1+Div.2
Codeforces,2149,Codeforces Round 1054 (Div. 3),2025-09-25 14:35:00,2025,Div.3
Codeforces,2150,Codeforces Round 1053 (Div. 1),2025-09-24 11:35:00,2025,Div.1
Codeforces,2151,Codeforces Round 1053 (Div. 2),2025-09-24 11:35:00,2025,Div.2
Codeforces,2146,Codeforces Round 1052 (Div. 2),2025-09-21 14:35:00,2025,Div.2
Codeforces,2147,Codeforces Global Round 29 (Div. 1 + Div. 2),2025-09-20 14:35:00,2025,Div.1+Div.2
Codeforces,2143,Codeforces Round 1051 (Div. 2),2025-09-17 14:35:00,2025,Div.2
Codeforces,2144,Educational Codeforces Round 182 (Rated for Div. 2),2025-09-15 14:35:00,2025,Educational
Codeforces,2148,Codeforces Round 1050 (Div. 4),2025-09-13 14:35:00,2025,Div.4
Codeforces,2141,Kotlin Heroes: Episode 13,2025-09-12 14:35:00,2025,Other
Codeforces,2140,Codeforces Round 1049 (Div. 2),2025-09-09 14:35:00,2025,Div.2
Codeforces,2138,Codeforces Round 1048 (Div. 1),2025-09-08 14:35:00,2025,Div.1
Codeforces,2139,Codeforces Round 1048 (Div. 2),2025-09-08 14:35:00,2025,Div.2
Codeforces,2137,Codeforces Round 1047 (Div. 3),2025-09-07 14:35:00,2025,Div.3
Codeforces,2142,Kotlin Heroes: Practice 13,2025-09-02 14:30:00,2025,Other
Codeforces,2135,Codeforces Round 1046 (Div. 1),2025-08-28 14:35:00,2025,Div.1
Codeforces,2136,Codeforces Round 1046 (Div. 2),2025-08-28 14:35:00,2025,Div.2
Codeforces,2134,Codeforces Round 1045 (Div. 2),2025-08-26 14:35:00,2025,Div.2
Codeforces,2133,Codeforces Round 1044 (Div. 2),2025-08-24 14:35:00,2025,Div.2
Codeforces,2132,Codeforces Round 1043 (Div. 3),2025-08-21 14:35:00,2025,Div.3
