platform,difficulty_band,problem_count,percentage
AtCoder,Easy,1737,19.225235196458218
AtCoder,Hard,1514,16.757055893746543
AtCoder,Medium,1433,15.86054233536248
AtCoder,Unknown,4351,48.157166574432765
Codeforces,Easy,2253,20.035571365051133
Codeforces,Hard,4807,42.74788795020009
Codeforces,Medium,3901,34.690973766118276
Codeforces,Unknown,284,2.5255669186305023
LeetCode,Easy,788,22.23476297968397
LeetCode,Hard,871,24.576749435665914
LeetCode,Medium,1885,53.18848758465011
